subject_code,subject_name
HPC5,Supply Chain Management in Hospitality Industry
HPC5,Supply Chain Management in Hospitality Industry
HPC4,Applied Business Tools and Technologies
HPC4,Applied Business Tools and Technologies
PATHFit2,Exercise Based Fitness Activities
BME2,Strategic Management in Tourism and Hospitality
HPC6,Foreign Language 1
HPC6,Foreign Language 1
THC6,Professional Development and Applied Ethics
THC6,Professional Development and Applied Ethics
GEC 105,Reading in the Philippine History and IP Studies
GEC 105,Reading in the Philippine History and IP Studies
HMPE3,Recreation And Leisure Management
HMPE3,Recreation And Leisure Management
PATHFit4,"Sports, Martial Arts, Outdoor and Adventure Activities"
HPC5,Supply Chain Management in Hospitality Industry
HPC5,Supply Chain Management in Hospitality Industry
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
HMPE2,Bread and Pastry (Laboratory)
HMPE2,Bread and Pastry (Lecture)
HPC6,Foreign Language 1
HPC6,Foreign Language 1
THC6,Professional Development and Applied Ethics
THC6,Professional Development and Applied Ethics
GEC 105,Reading in the Philippine History and IP Studies
GEC 105,Reading in the Philippine History and IP Studies
HMPE3,Recreation And Leisure Management
HMPE3,Recreation And Leisure Management
PATHFit4,"Sports, Martial Arts, Outdoor and Adventure Activities"
HMPE7,Front Office Operation
HPC5,Supply Chain Management in Hospitality Industry
HPC5,Supply Chain Management in Hospitality Industry
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
THC8,Legal Aspects in Tourism and Hospitality
THC8,Legal Aspects in Tourism and Hospitality
THC9,Multicultural Diversity in Workplace for the Tourism Professional
THC9,Multicultural Diversity in Workplace for the Tourism Professional
HMPE7,Front Office Operation
HMPE7,Front Office Operation
HMPE6,Specialty Cuisine (Laboratory)
HMPE6,Specialty Cuisine (Lecture)
BME2,Strategic Management in Tourism and Hospitality
BME2,Strategic Management in Tourism and Hospitality
HPC1,Kitchen Essentials and Basic Food Preparation (Lecture)
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
THC8,Legal Aspects in Tourism and Hospitality
THC8,Legal Aspects in Tourism and Hospitality
HMPE2,Bread and Pastry (Lecture)
THC9,Multicultural Diversity in Workplace for the Tourism Professional
LABCUST,Laboratory Custodian
HMPE7,Front Office Operation
HMPE6,Specialty Cuisine (Laboratory)
HMPE6,Specialty Cuisine (Lecture)
THC5,Micro Perspective of Tourism and Hospitality
BME2,Strategic Management in Tourism and Hospitality
HPC2,Fundamentals in Lodging Operation (Laboratory)
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
THC8,Legal Aspects in Tourism and Hospitality
THC8,Legal Aspects in Tourism and Hospitality
HPC5,Supply Chain Management in Hospitality Industry
THC9,Multicultural Diversity in Workplace for the Tourism Professional
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
HMPE7,Front Office Operation
HMPE6,Specialty Cuisine (Laboratory)
HMPE6,Specialty Cuisine (Lecture)
HMPE7,Front Office Operation
BME2,Strategic Management in Tourism and Hospitality
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
HPC9,Ergonomics and Facilities Planning for the Hospitality Industry
THC8,Legal Aspects in Tourism and Hospitality
THC8,Legal Aspects in Tourism and Hospitality
HPC1,Kitchen Essentials and Basic Food Preparation (Laboratory)
THC9,Multicultural Diversity in Workplace for the Tourism Professional
HMPE2,Bread and Pastry (Laboratory)
GEE 102,Living in the IT Era
HMPE6,Specialty Cuisine (Laboratory)
HMPE6,Specialty Cuisine (Lecture)
HPC5,Supply Chain Management in Hospitality Industry
BME2,Strategic Management in Tourism and Hospitality
HM-Prac 1,Practicum (Hotel Phase) - 300 hours
HM-Prac 2,Practicum (Restaurant Phase) - 300 hours
THC9,Multicultural Diversity in Workplace for the Tourism Professional
HM-Prac 2,Practicum (Restaurant Phase) - 300 hours
HM-Prac 1,Practicum (Hotel Phase) - 300 hours
HM-Prac 2,Practicum (Restaurant Phase) - 300 hours
HM-Prac 1,Practicum (Hotel Phase) - 300 hours
HM-Prac 2,Practicum (Restaurant Phase) - 300 hours
HM-Prac 1,Practicum (Hotel Phase) - 300 hours
LABCUST,Laboratory Custodian
HM-Prac 2,Practicum (Restaurant Phase) - 300 hours
THC5,Micro Perspective of Tourism and Hospitality
LABCUST,Laboratory Custodian
LABCUST,Laboratory Custodian
HMPE7,Front Office Operation
THC9,Multicultural Diversity in Workplace for the Tourism Professional
LABCUST,Laboratory Custodian
LABCUST,Laboratory Custodian
LABCUST,Laboratory Custodian
SMC105,World History 1
SMC103,Socio-Cultural Anthropology
Ed/PCK2,Assessment in Learning 1
GEE103,Reading Visual Arts
EMC117,"Contemporary, Popular and Emergent Literature"
MMC115,Principles and Strategies in Teaching Mathematics
Ed/EL3,Teaching Internship
GEE102,Environmental Science
EMC112,Survey on English and American Literature
SMC121,Technology for Teaching and Learning 2
EMC109,Technical Writing
EMC120,Language Education Research
Ed/FTC4,Foundation of Special and Inclusive Education
EMC118,Technology in Language Education
PATHFit4,"Sports, Martial Arts, Oudoor and Adventure Activities"
Ed/EL3,Teaching Internship
RVW,Review Seminar (Majorship)
FMC111,Panulaang Filipino
ED/FTC3,"The Teacher, The Community, School Culture and Organizational Leadership"
BMC119,Research in Education 2
GEC109,Rizal's Life and Works
FMC118,Technology for Teaching and Learning 2
SMC117,Trends and Issues in Social Studies
GEC107,The Contemporary World
FMC116,Pagtuturo at Pagtaya ng Markong Kasanayang Pang wika
FMC117,Paghahanda at Ebalwasyon ng Kagamitang Pangturo
FMC117,Paghahanda at Ebalwasyon ng Kagamitang Pangturo
FMC117,Paghahanda at Ebalwasyon ng Kagamitang Pangturo
EMC117,"Contemporary, Popular and Emergent Literature"
EMC117,"Contemporary, Popular and Emergent Literature"
GEE102,Environmental Science
GEC105,Readings in Philippine History
EMC111,Survey on Afro-Asian Literature
FMC110,Sanaysay at Talumpati
BMC108,Teaching Social Studies in the Elementary Grades (Culture and Geography)
MMC118,Assessment and Evaluation in Mathematics
NSTP2,Community Immersion
BMC114,Teaching Math in the Intermediate Grades
GEE102,Environmental Science
FMC119,Introduksyon sa Pananaliksik-Wika at Panlipunan
SMC118,Production of Social Studies Instructional Materials
BMC117,Good Manners and Right Conduct (Edukasyon sa Pagpapakatao)
Ed/EL3,Teaching Internship
BMC102,Pagututuro ng Filipino sa Elementarya (II) - Panitika ng Pilipinas
EEL102,Elective 2 (English for specific purpose)
Ed/EL3,Teaching Internship
PATHFit2,Exercise Based Fitness Activities
FMC102,Estruktura ng Wikang Filipino
Ed/FTC4,Foundation of Special and Inclusive Education
SMC112,Comparative Government and Policies
FMC119,Introduksyon sa Pananaliksik-Wika at Panlipunan
NSTP2,Community Immersion
GEC108,Ethics
EMC112,Survey on English and American Literature
Ed/PCK4,Assessment in Learning 2
GEC103,Purposive Communication
FMC118,Technology for Teaching and Learning 2
BMC114,Teaching Math in the Intermediate Grades
GEC109,Rizal's Life and Works
GEE103,Reading Visual Arts
GEC102,Mathematics in the Modern World
MMC119,Technology for Teaching and Learning 2 (Instrumentation and Technology in Mathematics)
EMC103,Structure of English
EMC120,Language Education Research
GEC109,Rizal's Life and Works
GEC104,"Science, Technology and Society"
SMC119,Research in Social Studies
MMC116,"Problem Solving, Mathematical Investigation and Modeling"
SMC109,Places and Landscapes in a Changing World
EMC119,Language Learning Materials Development
MMC103,Plane and Solid Geometry
Ed/PCK2,Assessment in Learning 1
NSTP2,Community Immersion
GEC105,Readings in Philippine History
SMC110,Teaching Approaches in Secondary Social Studies
SMC109,Places and Landscapes in a Changing World
BMC116,Technology for Teaching in the Elementary Grades
BMC103,"Teaching Science in the Elementary Grades (Physics, Earth and Space Sciences)"
Ed/FTC2,The Teaching Profession
SMC120,Assessment and Evaluation in Social Sciences
GEE102,Environmental Science
BMC116,Technology for Teaching in the Elementary Grades
Ed/FTC2,The Teaching Profession
GEC104,"Science, Technology and Society"
FMC116,Pagtuturo at Pagtaya ng Markong Kasanayang Pang wika
EMC112,Survey on English and American Literature
SEL102,Elective 2 (Basic School Management & Administration)
Ed/PCK2,Assessment in Learning 1
EEL102,Elective 2 (English for specific purpose)
GEE102,Environmental Science
BMC119,Research in Education 2
Ed/PCK5,The Teacher and The School Curriculum
SMC121,Technology for Teaching and Learning 2
MMC104,Logic and Set Theory
EEL101,Elective 1 (Remedial Instruction)
EMC105,Principles and Theories of Language Acquisition and Learning
RVW,Review Seminar (Majorship)
Ed/EL3,Teaching Internship
Ed/FTC2,The Teaching Profession
BMC116,Technology for Teaching in the Elementary Grades
GEE102,Environmental Science
Ed/PCK5,The Teacher and The School Curriculum
Ed/PCK2,Assessment in Learning 1
FMC115,Ang Filipino sa Kurikulum ng Batayang Edukasyon
EMC111,Survey on Afro-Asian Literature
SMC104,Geography 2
Ed/FTC4,Foundation of Special and Inclusive Education
FMC110,Sanaysay at Talumpati
EMC121,Teaching and Assessment of Literature Skills
BMC109,Teaching English in the Elementary Grades Through Literature
GEC108,Ethics
EMC120,Language Education Research
BMC116,Technology for Teaching in the Elementary Grades
Ed/FTC4,Foundation of Special and Inclusive Education
RVW,Review Seminar (Majorship)
EMC104,Mythology and Folklore
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
BMC110,Edukasyong Pantahanan at Pangkabuhayan with Entrepreneurship
RVW,Review Seminar (Majorship)
GEC108,Ethics
SMC110,Teaching Approaches in Secondary Social Studies
BMC108,Teaching Social Studies in the Elementary Grades (Culture and Geography)
Ed/PCK4,Assessment in Learning 2
EMC103,Structure of English
GEC109,Rizal's Life and Works
EMC110,Survey of Philippine Literature in the Philippines
Ed/FTC4,Foundation of Special and Inclusive Education
FMC115,Ang Filipino sa Kurikulum ng Batayang Edukasyon
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
Ed/PCK4,Assessment in Learning 2
EMC105,Principles and Theories of Language Acquisition and Learning
EMC110,Survey of Philippine Literature in the Philippines
BMC119,Research in Education 2
GEC108,Ethics
EMC119,Language Learning Materials Development
FMC118,Technology for Teaching and Learning 2
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
BMC117,Good Manners and Right Conduct (Edukasyon sa Pagpapakatao)
EMC111,Survey on Afro-Asian Literature
SMC118,Production of Social Studies Instructional Materials
GEC106,Art Appreciation
FMC115,Ang Filipino sa Kurikulum ng Batayang Edukasyon
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
EMC118,Technology in Language Education
FMC115,Ang Filipino sa Kurikulum ng Batayang Edukasyon
BMC119,Research in Education 2
GEC105,Readings in Philippine History
GEC104,"Science, Technology and Society"
Ed/EL3,Teaching Internship
GEC108,Ethics
NSTP2,Community Immersion
FMC102,Estruktura ng Wikang Filipino
EMC121,Teaching and Assessment of Literature Skills
GEC108,Ethics
GEC105,Readings in Philippine History
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
MMC104,Logic and Set Theory
GEC109,Rizal's Life and Works
Ed/EL3,Teaching Internship
EMC110,Survey of Philippine Literature in the Philippines
RVW,Review Seminar (Majorship)
BMC110,Edukasyong Pantahanan at Pangkabuhayan with Entrepreneurship
FMC108,Barayti at Baryasyon ng Wika
PATHFit4,"Sports, Martial Arts, Oudoor and Adventure Activities"
FMC116,Pagtuturo at Pagtaya ng Markong Kasanayang Pang wika
Ed/FTC2,The Teaching Profession
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
Ed/FTC2,The Teaching Profession
SMC104,Geography 2
MMC102,Trigonometry
MMC102,Trigonometry
EMC121,Teaching and Assessment of Literature Skills
RVW,Review Seminar (Majorship)
EMC111,Survey on Afro-Asian Literature
GEC108,Ethics
EMC109,Technical Writing
FMC117,Paghahanda at Ebalwasyon ng Kagamitang Pangturo
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
ED/FTC3,"The Teacher, The Community, School Culture and Organizational Leadership"
GEC102,Mathematics in the Modern World
GEC109,Rizal's Life and Works
FEL102,Pagsasalin sa Ibat-ibang Disiplina (Elective 2)
FMC104,Panitikan ng Rehiyon
BMC115,Content and Pedagogy for the Mother Tongue
GEC109,Rizal's Life and Works
PATHFit4,"Sports, Martial Arts, Oudoor and Adventure Activities"
EMC109,Technical Writing
FMC109,Maikling Kuwento at Nobelang Filipino
FMC108,Barayti at Baryasyon ng Wika
BMC115,Content and Pedagogy for the Mother Tongue
Ed/FTC4,Foundation of Special and Inclusive Education
FMC118,Technology for Teaching and Learning 2
BMC109,Teaching English in the Elementary Grades Through Literature
Ed/PCK2,Assessment in Learning 1
GEC109,Rizal's Life and Works
FMC111,Panulaang Filipino
GEC108,Ethics
BMC117,Good Manners and Right Conduct (Edukasyon sa Pagpapakatao)
Ed/PCK4,Assessment in Learning 2
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
PATHFit2,Exercise Based Fitness Activities
Ed/EL3,Teaching Internship
SMC111,Macroeconomics
EEL101,Elective 1 (Remedial Instruction)
MMC117,Research in Mathematics
FMC116,Pagtuturo at Pagtaya ng Markong Kasanayang Pang wika
PATHFit4,"Sports, Martial Arts, Oudoor and Adventure Activities"
EMC118,Technology in Language Education
GEC104,"Science, Technology and Society"
EMC119,Language Learning Materials Development
FMC119,Introduksyon sa Pananaliksik-Wika at Panlipunan
EEL102,Elective 2 (English for specific purpose)
GEC109,Rizal's Life and Works
SMC103,Socio-Cultural Anthropology
FMC109,Maikling Kuwento at Nobelang Filipino
RVW,Review Seminar (Majorship)
RVW,Review Seminar (Majorship)
Ed/EL3,Teaching Internship
RVW,Review Seminar (Majorship)
EMC104,Mythology and Folklore
NSTP2,Community Immersion
SMC117,Trends and Issues in Social Studies
BMC104,Teaching Music in the Elementary Grades
GEC109,Rizal's Life and Works
BMC102,Pagututuro ng Filipino sa Elementarya (II) - Panitika ng Pilipinas
NSTP2,Community Immersion
EMC112,Survey on English and American Literature
BMC103,"Teaching Science in the Elementary Grades (Physics, Earth and Space Sciences)"
EMC110,Survey of Philippine Literature in the Philippines
PATHFit4,"Sports, Martial Arts, Oudoor and Adventure Activities"
FMC103,Introduksyon sa Pagsasalin
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
Ed/PCK6,Building and Enhancing New Literacies Across the Curriculum
Ed/EL3,Teaching Internship
EMC109,Technical Writing
EMC117,"Contemporary, Popular and Emergent Literature"
Ed/FTC2,The Teaching Profession
EEL101,Elective 1 (Remedial Instruction)
EEL101,Elective 1 (Remedial Instruction)
EMC120,Language Education Research
GEC107,The Contemporary World
EEL102,Elective 2 (English for specific purpose)
GEC109,Rizal's Life and Works
Ed/PCK2,Assessment in Learning 1
RVW,Review Seminar (Majorship)
EMC121,Teaching and Assessment of Literature Skills
CRISOC3,PROFESSIONAL CONDUCT AND ETHICAL STANDARD
CRISOC3,PROFESSIONAL CONDUCT AND ETHICAL STANDARD
CLJ 1,INTRODUCTION TO PHILIPINE CRIMINAL JUSTICE SYSTEM
CLJ 1,INTRODUCTION TO PHILIPINE CRIMINAL JUSTICE SYSTEM
LEA1,LAW ENFORCEMENT ORGANIZATION AND ADMINISTRATION
LEA1,LAW ENFORCEMENT ORGANIZATION AND ADMINISTRATION
CRISOC 2,THEORIES OF CRIME AND CAUSATION
CRISOC 2,THEORIES OF CRIME AND CAUSATION
GEC 103,PURPOSIVE COMMUNICATION
GEC 103,PURPOSIVE COMMUNICATION
PATHFit 2,EXERCISE BASED FITNESS ACTIVITY
GEC 102,MATHEMATICS IN THE MODERN WORLD
GEC 106,ART APPRECIATION
GEC 106,ART APPRECIATION
GEE 101,"Religion, Religious Experiences & Spirituality"
GEE 101,"Religion, Religious Experiences & Spirituality"
MN 1,Intro to Human Resource and Labor Laws
MN 1,Intro to Human Resource and Labor Laws
CLJ 1,INTRODUCTION TO PHILIPINE CRIMINAL JUSTICE SYSTEM
CLJ 1,INTRODUCTION TO PHILIPINE CRIMINAL JUSTICE SYSTEM
LEA1,LAW ENFORCEMENT ORGANIZATION AND ADMINISTRATION
LEA1,LAW ENFORCEMENT ORGANIZATION AND ADMINISTRATION
CRISOC 2,THEORIES OF CRIME AND CAUSATION
CRISOC 2,THEORIES OF CRIME AND CAUSATION
GEC 103,PURPOSIVE COMMUNICATION
GEC 103,PURPOSIVE COMMUNICATION
PATHFit 2,EXERCISE BASED FITNESS ACTIVITY
GEC 102,MATHEMATICS IN THE MODERN WORLD
GEC 106,ART APPRECIATION
GEC 106,ART APPRECIATION
GEE 101,"Religion, Religious Experiences & Spirituality"
GEE 101,"Religion, Religious Experiences & Spirituality"
FS2,Personnel Security
LEA 3,COMPARATIVE MODEL IN POLICING
LEA 3,COMPARATIVE MODEL IN POLICING
CRIMIN 3,FORENSIC CHEMISTRY AND TOXICOLOGY
CRIMIN 3,FORENSIC CHEMISTRY AND TOXICOLOGY
