subject_code,subject_name
IS14,Corporate & Security Investigation & Report Writing
OJT,INTERNSHIP
CLJ 3,CRIMINAL LAW (BOOK 1)
IS 15,Crisis Mngmt & Business Plan
IS 13,CRIME SCENE PROTECTION
CRIMIN 5,LIE DETECTION TECHNIQUES
IS14,Corporate & Security Investigation & Report Writing
OJT,INTERNSHIP
CRIMIN 5,LIE DETECTION TECHNIQUES
IS 13,CRIME SCENE PROTECTION
IS 13,CRIME SCENE PROTECTION
IS14,Corporate & Security Investigation & Report Writing
IS14,Corporate & Security Investigation & Report Writing
IS 15,Crisis Mngmt & Business Plan
IS 12,"CRIME PREVENTION, DETECTION & CONTROL"
IS 9,Asset Protection Management
CLJ 5,EVIDENCE
CRISOC 7,CRIMINOLOGICAL RESEARCH 1
CRISOC 7,CRIMINOLOGICAL RESEARCH 1
IS 15,Crisis Mngmt & Business Plan
OJT,INTERNSHIP
CRISOC 5,Juvenile Delinquency & Juvenile Justice System
CRISOC 5,Juvenile Delinquency & Juvenile Justice System
SEL101,Elective 1 ( Human Resource Management )
IS 6,Real Estate Security Administration & Management
CRISOC 7,CRIMINOLOGICAL RESEARCH 1
IS 15,Crisis Mngmt & Business Plan
PathFit 2,Exercise based Fitness Activities
PathFit 2,Exercise based Fitness Activities
PathFit 4,"Sports, Marial Arts, and Outdoor, and Adventure Activities"
PathFit 4,"Sports, Marial Arts, and Outdoor, and Adventure Activities"
Ed/FTC 2,The Teaching Profession
Ed/FTC 2,The Teaching Profession
Ed/FTC 2,The Teaching Profession
Ed/FTC 2,The Teaching Profession
Ed/FTC 2,The Teaching Profession
Ed/FTC 2,The Teaching Profession
PathFit 2,Exercise based Fitness Activities
PathFit 4,"Sports, Marial Arts, and Outdoor, and Adventure Activities"
NSTP 2,National Service Training
NSTP 2,National Service Training
NSTP 2,National Service Training
BACC 4,Good Governance and Social Responsibility
BACC 4,Good Governance and Social Responsibility
BACC 4,Good Governance and Social Responsibility
BACC 4,Good Governance and Social Responsibility
AC 11,Accounting for Business Combinations
MMMC 3,ELECTIVE 3 – ENTREPRENURIAL MANAGEMENT
MMMC 3,ELECTIVE 3 – ENTREPRENURIAL MANAGEMENT
MMMC 3,ELECTIVE 3 – ENTREPRENURIAL MANAGEMENT
MMMC 3,ELECTIVE 3 – ENTREPRENURIAL MANAGEMENT
MMMC 3,ELECTIVE 3 – ENTREPRENURIAL MANAGEMENT
MMMC 3,ELECTIVE 3 – ENTREPRENURIAL MANAGEMENT
ECO 1,Managerial Economics
ECO 1,Managerial Economics
NSTP 2,National Service Training
NSTP 2,National Service Training
MGT 4,Strategic Business Analysis
MGT 4,Strategic Business Analysis
AC 11,Accounting for Business Combinations
BACC 7,BUSINESS RESEARCH
BACC 6,InternatioNAL BUSINESS TRADE
BACC 6,InternatioNAL BUSINESS TRADE
FMMC 3,Banking and Financial Institution
BACC 6,INTERNATIONAL BUSINESS TRADE
BACC 6,INTERNATIONAL BUSINESS TRADE
BACC 6,INTERNATIONAL BUSINESS TRADE
Ed/ FTC 1,The Child and Adolescent Learner and Learning Principle
FMMC 3,Banking and Financial Institution
Ed/ FTC 1,The Child and Adolescent Learner and Learning Principle
Ed/ FTC 1,The Child and Adolescent Learner and Learning Principle
FMMC 3,Banking and Financial Institution
Ed/ FTC 1,The Child and Adolescent Learner and Learning Principle
FMMC 3,Banking and Financial Institution
BACC 6,INTERNATIONAL BUSINESS TRADE
BACC 6,INTERNATIONAL BUSINESS TRADE
BACC 6,INTERNATIONAL BUSINESS TRADE
GEC 105,Readings in Philippine History
GEC 105,Readings in Philippine History
GEC 105,Readings in Philippine History
GEC 105,Readings in Philippine History
GEC 105,Readings in Philippine History
GEC 105,Readings in Philippine History
FMEC 1,ELECTIVE 1 ( Behavioral Finance )
FMEC 1,ELECTIVE 1 ( Behavioral Finance )
FMEC 1,ELECTIVE 1 ( Behavioral Finance )
FMEC 1,ELECTIVE 1 ( Behavioral Finance )
AC 13,Accounting Research Methods
AC 13,Accounting Research Methods
BACC 7,BUSINESS RESEARCH
BACC 7,BUSINESS RESEARCH
BACC 7,BUSINESS RESEARCH
BACC 7,BUSINESS RESEARCH
BACC 7,BUSINESS RESEARCH
BA-PRAC,INTERNSHIP (600 HRS)
GEE 102,Environmental Science
GEE 102,Environmental Science
GEC 104,Science and Technology and Society
GEC 104,Science and Technology and Society
GEE 102,Environmental Science
GEE 102,Environmental Science
MGT 1,Management Science
MGT 1,Management Science
GEC 104,Science and Technology and Society
GEC 104,Science and Technology and Society
GEC 107,The Contemporary World
GEC 107,The Contemporary World
Prof-Elec 1,Human Behaviour in Organization
Prof-Elec 1,Human Behaviour in Organization
GEC 103,Reading Visual Arts
GEC 103,Reading Visual Arts
BA-PRAC,INTERNSHIP (600 HRS)
BA-PRAC,INTERNSHIP (600 HRS)
GEC 109,RIZAL’S LIFE AND WORKS
GEC 109,RIZAL’S LIFE AND WORKS
GEC 109,RIZAL’S LIFE AND WORKS
GEC 109,RIZAL’S LIFE AND WORKS
GEC 109,RIZAL’S LIFE AND WORKS
GEC 109,RIZAL’S LIFE AND WORKS
BA-PRAC,INTERNSHIP (600 HRS)
Prof Elec - AC4,Principles and Methods and of Teaching Accounting
Prof Elec - AC4,Principles and Methods and of Teaching Accounting
Prof Elec - AC4,Principles and Methods and of Teaching Accounting
GEC 109,RIZAL’S LIFE AND WORKS
GEC 109,RIZAL’S LIFE AND WORKS
Prof Elec - AC3,Operations Auditing
Prof Elec - AC3,Operations Auditing
Prof Elec - AC3,Operations Auditing
Prof Elec - AC3,Operations Auditing
Prof Elec - AC4,Principles and Methods and of Teaching Accounting
BA-PRAC,INTERNSHIP (600 HRS)
BA-PRAC,INTERNSHIP (600 HRS)
BA-PRAC,INTERNSHIP (600 HRS)
BA-PRAC,INTERNSHIP (600 HRS)
BACC 3,Income Taxation
BACC 3,Income Taxation
BACC 3,Income Taxation
BL 2,Business Laws and Regulations
BL 2,Business Laws and Regulations
GEC 5,Readings in Philippine History
GEC 5,Readings in Philippine History
BACC 3,Income Taxation
TAX 1,Income Taxation
TAX 1,Income Taxation
AUD 3,Auditing and Assurance Concepts and APP 2
BA-PRAC,INTERNSHIP (600 HRS)
BA-PRAC,INTERNSHIP (600 HRS)
AUD 3,Auditing and Assurance Concepts and APP 2
AC 2,Conceptual Framework and Accounting
AC 2,Conceptual Framework and Accounting
AC 3,Intermediate Accounting 1
AC 3,Intermediate Accounting 1
AC 5,Intermediate Accounting 3
AC 5,Intermediate Accounting 3
Comp 2,Statistical Analysis with Software Apps
AUD 1,Auditing Assurance and Principles
AUD 2,Auditing Assurance and Concepts Application 1
AUD 2,Auditing Assurance and Concepts Application 1
AC 7,Strategic Cost Management
AC 7,Strategic Cost Management
AC 16,Accounting Integrations
AC 16,Accounting Integrations
Comp 2,Statistical Analysis with Software Apps
BACC 1,Basic Micro Economics
BACC 1,Basic Micro Economics
BACC 1,Basic Micro Economics
BACC 1,Basic Micro Economics
CBMEC 2,OPERATIONS MANAGEMENT (TQM)
CBMEC 2,OPERATIONS MANAGEMENT (TQM)
CBMEC 2,OPERATIONS MANAGEMENT (TQM)
CBMEC 2,OPERATIONS MANAGEMENT (TQM)
CBMEC 2,OPERATIONS MANAGEMENT (TQM)
CBMEC 2,OPERATIONS MANAGEMENT (TQM)
AUD 1,Auditing Assurance and Principles
AUD 4,Auditing and Assurance : Specialized Industries
CBMEC 2,Operations Management (TQM)
CBMEC 2,Operations Management (TQM)
AUD 4,Auditing and Assurance : Specialized Industries
AC 12,Accounting for Gov and Non Profit Org
AC 12,Accounting for Gov and Non Profit Org
BAMB 102,FINANCIAL ACCOUNTING and REPORTING ( BASIC ACCOUNTING )
BAMB 102,FINANCIAL ACCOUNTING and REPORTING ( BASIC ACCOUNTING )
BAMB 102,FINANCIAL ACCOUNTING and REPORTING ( BASIC ACCOUNTING )
BAMB 102,FINANCIAL ACCOUNTING and REPORTING ( BASIC ACCOUNTING )
FMMC 2,Financial Analysis and Reporting
FMMC 2,Financial Analysis and Reporting
FMMC 2,Financial Analysis and Reporting
FMMC 2,Financial Analysis and Reporting
FMMC 6,Credit and collection
FMMC 6,Credit and collection
FMMC 6,Credit and collection
FMMC 6,Credit and collection
FMMC 6,Credit and collection
FMMC 6,Credit and collection
FMMC 1,Financial Management 1
FMMC 1,Financial Management 1
